,text,sentiment,user,retweets,likes,location,year,month,day,hour
0,impressive   visit       blueorigin   huntsville   engine   production   facility   nasa     proud     partner     blue   origin   especially       blue   moon   human   landing   system       help   ensure     steady   cadence     astronauts       moon     live     work       venture     mars,Posiitve,@SenBillNelson,854,4126,Maldives,2023,10,27,14
1,nominal   run,Neutral,@torybruno,424,3985,Belgium,2023,6,8,1
2,honored           journey     nasa     land   astronauts       moon       time     stay   together       solving     boil   problem     making   lox lh2     storable   propellant   combination   pushing   forward     state       art       deep   space   missions   artemis   moontomars   https www blueorigin com news nasa selects blue origin mission moon,Neutral,@JeffBezos,2131,13562,Iran,2023,5,19,15
3,big   milestone   kudos     congrats       whole   zoox   team,Posiitve,@JeffBezos,837,5353,Zimbabwe,2023,2,13,20
4,episode   3     last     us     unbelievably   good   story   telling         awe     nick_offerman   performance   incredible,Posiitve,@JeffBezos,1386,29744,Iran,2023,1,31,16
5,thank     bill     tim     nice   gratitude,Posiitve,@JeffBezos,246,2969,Cuba,2023,1,28,19
6,  crave   experts       new   thing     almost     experts     expert       old   thing,Neutral,@kevin2kelly,412,2228,France,2023,1,10,23
7,  year   bezos   day   1   families   fund   grants   go     40   incredible   groups   working     end   homelessness       u     5   years     given       500   million     167   orgs     helping   expand     support     families     need   honored     support     groups   bezosdayonefund org day1fami,Neutral,@JeffBezos,925,7006,Iran,2022,11,22,12
8,werner     pulling   back     curtain     amazon   history       distributed   computing   manifesto    read     25 year old   internal   doc     changed     way   systems     designed     built     amazon    learn       https go aws 3tgvc6o   aws,Neutral,@awscloud,650,3158,Iceland,2022,11,17,1
9,    announced     new   courage     civility   award   recipient      dollyparton     leads       heart       put     100   million   award     great   use   helping     many   people     joins   prior   awardees   vanjones68     chefjoseandres    congrats   dolly,Posiitve,@JeffBezos,1314,9069,Australia,2022,11,12,22
10,yep     probabilities       economy   tell       batten       hatches,Neutral,@JeffBezos,1375,8582,Argentina,2022,10,18,23
11,  hutch     going       incredible   things        https www bloomberg com news articles 2022 10 12 bezos family donate 711 million cancer center seattle,Posiitve,@JeffBezos,651,6075,Mali,2022,10,12,19
12,invention       still   improve   even     axe   damn,Neutral,@JeffBezos,3720,47994,Netherlands,2022,10,9,23
13,  bezos   earth   fund     granted   110m     protect     congo   basin     critical   ecosystem     world   cannot   afford     lose    watch     learn       collaborating     partners   across   governments   businesses     civil   society     conserve   30       region     2030    30by30,Neutral,@BezosEarthFund,496,2868,Jamaica,2022,10,6,18
14,go   jsalke     amazonstudios,Neutral,@JeffBezos,196,1553,Kiribati,2022,10,5,18
15,https frontofficesports com tnf draws record prime subscriptions amazon,Neutral,@JeffBezos,295,2449,Tunisia,2022,9,20,22
16,https www amazon science blog 20b parameter alexa model sets new marks shot learning,Neutral,@JeffBezos,385,2686,Japan,2022,9,10,18
17,    want   unusual   results     going     need     missionary   brilliant   organizational   misfits       team    https www wsj com articles rings power lotr amazon jd payne patrick mckay 11662605833,Neutral,@JeffBezos,471,4161,Luxembourg,2022,9,10,2
18,    rather   excitable   baby   elephant   chasing   birds      vc     borås   zoo,Neutral,@JamesMelville,1284,8989,Indonesia,2022,9,9,9
19,    think       one     better   personified   duty     deepest   condolences         brits   mourning     passing   today,Neutral,@JeffBezos,1178,22149,North Macedonia,2022,9,8,18
20,    someone   supposedly   working     make     world   better       think     wow,Posiitve,@JeffBezos,9670,70044,Sweden,2022,9,8,16
21,go   middle earth   https www bloomberg com news articles 2022 09 03 amazon lord rings series draws 25 million debut,Neutral,@JeffBezos,770,11494,United States,2022,9,3,22
22,good   point   thank         excited         working  ,Posiitve,@JeffBezos,182,2270,India,2022,9,3,15
23,think       viewing   time     could   save         made   one   series   house     game       lord     thrones       dragon   rings,Neutral,@ConanOBrien,1229,16287,Namibia,2022,9,2,15
24,  first   job     still       great   burger   happy   sunday,Posiitve,@JeffBezos,8448,196113,Egypt,2022,8,28,21
25,leaders       get     far   ahead,Posiitve,@JeffBezos,1087,9052,Czech Republic,2022,8,8,17
26,  friend       friend     many   tom   alberg     passed   away         early   investor     amazon     served       board     23   years   tom       visionary     also       wonderful   good   man         lucky             life   tom         miss     dearly,Posiitve,@JeffBezos,476,10871,Iceland,2022,8,6,21
27,new   trailer   released     comic con   today   theringsofpower,Neutral,@JeffBezos,754,6150,El Salvador,2022,7,22,19
28,let   go,Neutral,@JeffBezos,438,4700,Colombia,2022,7,22,14
29,first   full length   trailer   theringsofpower,Neutral,@JeffBezos,1325,9755,Saudi Arabia,2022,7,14,15
30,  totally   agree       whatever     politics       cannot   ignore     past   three   hundred   years     economic   research     understanding   people   argue           side     science   let   use     education         please,Neutral,@bgurley,414,3533,Czech Republic,2022,7,4,3
31,ouch   inflation     far     important     problem       white   house     keep   making   statements   like       either   straight   ahead   misdirection       deep   misunderstanding     basic   market   dynamics,Negative,@JeffBezos,29120,180280,Greece,2022,7,3,1
32,looks   like   meat   back       menu   boys          exclusive   first look   photos       orcs       lord       rings     rings     power     getting     close   look           check       exclusive   interview   right     https bit ly 39eiy6o   lotronprime,Neutral,@IGN,1433,9658,Indonesia,2022,6,21,15
33,  love     dad,Posiitve,@JeffBezos,1612,65427,Gambia,2022,6,19,23
34,incredible,Posiitve,@JeffBezos,815,9318,Canada,2022,5,31,21
35,    truly   beautiful   observation,Posiitve,@JeffBezos,795,10733,Morocco,2022,5,26,15
36,thanks       history   shout       many   twists     turns     failures     successes       23   years,Neutral,@JeffBezos,677,6543,Laos,2022,5,24,2
37,https time com collection 100 influential people 2022 6177765 andy jassy,Neutral,@JeffBezos,239,2835,Central African Republic,2022,5,24,2
38,      old   2006   businessweek   framed       reminder     risky   bet     wall   street   disliked     aws     generated   revenue         62   billion   last   year,Negative,@JeffBezos,12061,113311,Belize,2022,5,18,19
39,  left leaning   economists     political   operatives       privately   critical     dems   approach     inflation   much   quieter   publicly     want       good   allies           friends     favors     withholding   good   advice     sometimes   tough   love   https www washingtonpost com opinions 2022 05 16 democrats need tough love economy inflation greedflation biden,Posiitve,@crampell,255,1767,South Africa,2022,5,17,14
40,    looking       scary   bedtime   reading,Negative,@JeffBezos,1539,21003,France,2022,5,17,14
41,  best     add   another   3 5   trillion     federal   spending     failed           succeeded   inflation   would     even   higher         today     inflation   today         40   year   high,Neutral,@JeffBezos,2952,31029,Canada,2022,5,16,16
42,look     squirrel         white   house   statement       recent   tweets     understandably   want     muddy     topic     know   inflation   hurts     neediest         unions     causing   inflation     neither     wealthy   people    remember     administration   tried,Negative,@JeffBezos,7280,58920,Uruguay,2022,5,16,16
43,25   years   ago   yesterday   amzn   went   public       grateful   dead   would   say       long   strange   trip            far     smooth   lots     risk taking   lots     invention   lots     mistakes     much     still         better       trade     ride     anything,Neutral,@JeffBezos,1945,31156,New Zealand,2022,5,16,14
44,  fact     administration   tried   hard     inject   even     stimulus       already   heated   inflationary   economy       manchin   saved         inflation       regressive   tax       hurts     least   affluent   misdirection     help     country,Neutral,@JeffBezos,7224,54984,Zimbabwe,2022,5,15,14
45,  newly   created   disinformation   board     review     tweet     maybe     need     form     new   non   sequitur   board   instead   raising   corp   taxes     fine     discuss   taming   inflation     critical     discuss   mushing     together       misdirection,Neutral,@JeffBezos,18929,155020,Mozambique,2022,5,14,2
46,slide   decks     maybe   useful     persuasion     think   sales   calls         want       internal   decision   meetings,Neutral,@JeffBezos,232,3545,Egypt,2022,5,13,19
